"business_product_id";"information_group";"discriminator";"sub_type";"changed_time";"deleted";"name";"street";"house_number";"box_number";"postal_code";"city_name";"main_city_name";"distance";"promotional_region";"x";"y";"accessibility_label";"phone1";"phone2";"phone3";"email";"website";"facebook";"twitter";"flickr";"instagram";"accessibility_description";"deaf_desc";"auditive_desc";"mental_desc";"blind_desc";"visual_desc";"autism_desc";"deaf";"auditive";"mental";"motor";"blind";"visual";"autism";"entrance";"route_and_levels";"common_toilet";"extra_facilities";"imagesurlmain";"imagesurl"
"380385";"ROUTE";"LOOP";"";"2025-03-06 20:43:14";"0";"4 toegankelijke stadswandelingen";"GROTE MARKT";"45";"";"9100";"Sint-Niklaas";"Sint-Niklaas";"";"waasland";"134183.3399933807";"205980.3863059524";"";"+32 3 778 35 00";"";"";"toerisme@sint-niklaas.be";"http://www.sint-niklaas.be ";"";"";"";"";"Studenten van het Technisch Instituut Sint-Carolus hebben samen met de stad vier ‘toegankelijke’ stadswandelingen uitgetekend. 
Er is een folder waarin de vier verschillende routes zijn uitgestippeld. De wandelingen lopen over de Grote Markt, door het stadspark, langs de Stationsstraat en het Regentieplein en door de buurt rond de Nieuwstraat en het Heymanplein. Het zijn lussen van 500 tot maximum 1.300 meter, telkens met alle nodige info bij. We geven ook praktische info mee over de meest toegankelijke horecazaken om een pauze in te lassen en om het boeiend te houden, bedachten we ook een reeks doe-opdrachten.";"";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";""
"357559";"ROUTE";"LOOP";"";"2025-03-07 00:15:40";"0";"Abdijenroute: een autoroute voor iedereen";"KONINGIN ELISABETHLEI";"22-24";"";"2018";"Antwerpen";"Antwerpen";"";"kunststadAntwerpen";"153053.0110231641";"209856.9543121122";"";"+32 3 240 63 90";"";"";"liesbet.dewit@provincieantwerpen.be";"https://www.kempen.be/route/abdijenroute";"";"";"";"";"Tien eeuwen oud en nog altijd even fascinerend: de Kempense abdijen. Volg de blauw-witte borden van deze autoroute en ontdek inspirerende verhalen en opmerkelijk erfgoed. De Abdijenroute wordt in 2024 vernieuwd dus hou zeker https://www.kempen.be/route/abdijenroute in de gaten voor de meest actuele informatie.";"";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";""
"276602";"ROUTE";"LOOP";"HIKING_LOOP";"2022-06-08 07:45:08";"0";"Abenopad";"Vakenstraat";"18";"";"3110";"Rotselaar";"Rotselaar";"";"hageland";"174888.32";"183597.13";"";"+32 16 61 64 15";"";"";"toerisme@rotselaar.be";"http://www.rotselaar.be";"";"";"";"";"Rotselaar heeft ook een toegankelijk wandelpad, het Abenopad. Het is een natuurwandeling van 3 km lang, geschikt voor rolstoelgebruikers, die vertrekt aan de Plas van Rotselaar. Het Abenopad is nu ook opgenomen in het nieuwe wandelnetwerk Demer en Dijle (langs de knooppunten 614-613-612-608-609-610-611-614). Op dit nieuwe wandelnetwerk zijn ook enkele toegankelijke paden rond Werchter Park (gelegen langs de Haachtsesteenweg nr 23, 3118 Werchter) opgenomen (rond knooppunten 632-633-634). Tussen 1 mei en 15 september kan het park afgesloten worden in het kader van de festivals en/of nodige onderhoudswerken.";"";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";""
"357557";"ROUTE";"LOOP";"";"2025-06-28 19:49:02";"0";"Arboretum van Groenendaal ";"Duboislaan ";"2";"";"1560";"Hoeilaart";"Hoeilaart";"";"groeneGordel";"155246.6793828133";"161932.5070667611";"";"";"";"";"anb@vlaanderen.be";"https://www.natuurenbos.be/arboretum-van-groenendaal ";"";"";"";"";"In het Arboretum van Groenendaal staan ruim 400 verschillende inheemse en uitheemse bomen en struiken. Je kunt er onder meer kennismaken met de Japanse koekjesboom, de reusachtige mammoetbomen en uitzonderlijke soorten esdoorn en eik. Het arboretum vertoont een prachtig reliëf waardoor het er aangenaam wandelen is. Combineer een bezoek aan het arboretum met een wandeling door het aangrenzende begrazingsblok en kom oog in oog te staan met de Schotse Hooglanders.";"";"";"";"Er is een excursiepad voor blinden en slechtzienden. Dit pad loopt samen met het Spinnenpad, een wandeling van 2,5 km met doe-opdrachtjes voor kinderen. Blinden en slechtzienden kunnen er terecht onder begeleiding.";"";"";"0";"0";"0";"0";"1";"1";"0";"";"";"Het excursiepad voor blinden en slechtzienden/het Spinnenpad is niet rolstoeltoegankelijk.";"";"";""
"399070";"ROUTE";"LOOP";"";"2025-03-06 10:20:41";"0";"Blindenpad (Zwinduinen)";"";"";"";"8300";"Knokke-Heist";"Knokke-Heist";"";"kust";"";"";"";"";"";"";"anb@vlaanderen.be";"https://www.natuurenbos.be/zwinduinen";"";"";"";"";"De wandelroute ‘Zwinduinen en -polders’ kreeg het label Groene Halte+. Deze wandeling is namelijk niet alleen goed bereikbaar met het openbaar vervoer, maar ook toegankelijk voor mensen met beperkte mobiliteit. Het grootste deel van het traject kan zowel door blinden en slechtzienden als door rolstoelgebruikers volledig zelfstandig afgelegd worden – met behulp van de routebeschrijving en de kaart in de brochure en eventueel de audioguide, de gpx-track en/of de grootletterversie van de brochure op www.groenehalte.be.";"";"";"";"";"";"";"";"";"";"1";"1";"1";"";"";"";"";"";"";""
"404881";"ROUTE";"LOOP";"";"2025-03-06 10:58:06";"0";"Blindentuin in Domeinbos Ryckevelde";"HOLLEWEG";"";"";"8310";"Assebroek";"Brugge";"";"kunststadBrugge";"74836.0942593856";"211011.171323065";"";"";"";"";"";"https://www.natuurenbos.be/natuurgebieden/ryckevelde";"";"";"";"";"In de ecologische heemtuin van Ryckevelde in Assebroek kan je op een domein van 3 hectare over een educatief pad wandelen, waarlangs je kan kennismaken met de specifieke landschapselementen van de streek. Her en der langs het pad staan informatieborden over de fauna en flora die je op de arme zandgronden terugvindt, steeds vergezeld van een braillebord voor slechtzienden en blinden. Een handige gidslijn wijst bovendien de juiste weg. Een echte doe-ervaring, want je mag de planten ook aanraken, besnuffelen en zelfs proeven! Ook voor rolstoelgebruikers is dit pad perfect toegankelijk. 
Lengte: 1,3 kilometer.";"";"";"";"";"";"";"";"";"";"1";"1";"1";"";"";"";"";"";"";""
"276595";"ROUTE";"LOOP";"HIKING_LOOP";"2025-03-06 14:55:31";"0";"Brussel: Grootstad in ’t klein (vijf korte stadswandelingen)";"Zaterdagplein";"6";"";"1000";"Brussel";"Brussel";"";"kunststadBrussel";"148685.38";"171232.53";"";"+32 2 218 27 19";"";"";"info@fedos.be";"https://www.fedos.be";"";"";"";"";"Via deze vijf wandelingen kunnen toeristen die iets minder goed te been zijn enkele mooie en verborgen hoekjes van Brussel verkennen. De wandelingen werden ontwikkeld met het oog op de doelgroep senioren, maar zijn meteen ook interessant voor iedereen die wat minder conditie heeft of (tijdelijk) wat minder goed te been is. Of gewoon voor de liefhebber van een mooie, korte wandeling door Brussel. De wandelingen variëren tussen 1,5 en 2,2 km en op regelmatige tijdstippen loopt de wandeling langs banken waarop even uitgerust kan worden of langs horecazaken die een uiterst gezellige sfeer uitademen. Er werden vijf wandelingen ontwikkeld:
- De Vismarkt en de oude kaaien
- De wijk van de Zavel
- Rondom de Kolenmarkt en het Rouppeplein
- Van Brouckèreplein tot Koninklijke Vlaamse Schouwburg 
- De O.L.V. Ter Sneeuwwijk en de Congreskolom
Dit is een initiatief van FEDOS Brussel. De wandelingen kunnen gratis besteld worden via de vermelde contactgegevens. ";"";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";""
"276736";"ROUTE";"LOOP";"HIKING_LOOP";"2025-02-22 17:37:52";"0";"Dagtrips Bocholt";"Dorpsstraat";"16";"";"3950";"Bocholt";"Bocholt";"";"limburgseKempen";"234650.98";"207773.63";"";"+32 89 20 19 30";"";"";"toerisme@bocholt.be";"http://visit.bocholt.be";"";"";"";"";"In Bocholt zijn er verschillende bezoekmogelijkheden die je de sfeer van het landelijke Bocholt laten opsnuiven. Zo is er o.a. de mogelijkheid tot huifkar- en koetsentochtjes, een bezoek aan de Alpacaboerderij en zijn er verschillende wandelingen die je via verharde paden naar de mooiste plekjes in en rond Bocholt en zijn deelgemeenten brengen. De uitgebreide informatie krijg je bij Toerisme Bocholt. Bij hen kan je ook de brochure ‘Dagtrips Bocholt’ opvragen met hierin een duidelijk overzicht van de verschillende bezoekmogelijkheden, al dan niet toegankelijk voor mensen met een beperking. Wandelkaarten zijn eveneens beschikbaar.";"";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";""
"402582";"ROUTE";"LOOP";"HIKING_LOOP";"2025-03-06 16:37:29";"0";"Dementievriendelijk wandelen in Mechelen";"VLEESHOUWERSSTRAAT";"6";"";"2800";"Mechelen";"Mechelen";"";"kunststadMechelen";"157746.4970772411";"190838.7949172128";"";"+32 15 29 76 54";"";"";"visit@mechelen.be";"https://www.visitmechelen.be/dementievriendelijke-wandelingen";"";"";"";"";"Mechelen is een dementievriendelijke stad en dat kunnen mensen met dementie nu ook ervaren tijdens, onder andere, de nieuwe dementievriendelijke wandelingen. Kies voor de 'Bourgondische wandeling' of 'Natuur in de stad'. De wandelingen zijn zo opgebouwd dat ze inspelen op herinneringen en zintuigen van de deelnemers. Oude verhalen komen terug naar boven en verschillende zintuigen worden geprikkeld. Je geniet samen met je wandelpartner van het leven in de stad en de zalige plekjes natuur die je onderweg tegenkomt. Of ga voor de wandelingen in het Tivolidomein. Je kan hier kiezen voor een lange of korte wandeling door het neerhof en de kinderboerderij.";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";""
"276819";"ROUTE";"LOOP";"HIKING_LOOP";"2020-06-02 15:20:43";"1";"Donkmeer wandelroute";"Donklaan";"123";"";"9290";"Berlare";"Berlare";"";"scheldeland";"122958.79";"192464.16";"";"+32 9 269 26 00";"";"";"toerisme@oost-vlaanderen.be";"http://www.tov.be/toegankelijkheid";"";"";"";"";"Het Donkmeer (86 ha) is letterlijk één van de grootste toeristische trekpleisters van Oost-Vlaanderen. De route van 5 km start aan het toeristisch infokantoor en neemt je mee langs een oude meander van de schelde. Je komt langs velden, bossen, vijvers en polders.

Een volledige wegbeschrijving vind je in de brochure ""Wandelen met een +"" uitgegeven door Toerisme Oost-Vlaanderen. De brochure vermeld zowel de pluspunten als de aandachtspunten van de wandeling. Ook toegankelijke restaurants en cafés worden besproken. De wandeling werd op toegankelijkheid gescreend door ATO (Adviesbureau Toegankelijke Omgeving). 

De brochure aanvragen kan op www.tov.be/toegankelijkheid en kost 3 Euro. Op de website vind je ook een gedetailleerde toegankelijkheidsfiche.";"";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";""
